Construct,Group1,Group2,z,p_bonf,sig
Εξοικονόμηση Χρόνου,0-1,10+,1.9409311804236546,0.3135997522884262,ns
Εξοικονόμηση Χρόνου,0-1,2-4,2.3330069207821174,0.11788669250986583,ns
Εξοικονόμηση Χρόνου,0-1,5-9,0.2613861475069112,1.0,ns
Εξοικονόμηση Χρόνου,10+,2-4,0.050201208056406176,1.0,ns
Εξοικονόμηση Χρόνου,10+,5-9,1.8781425278286814,0.3621700191115922,ns
Εξοικονόμηση Χρόνου,2-4,5-9,2.1184909799803404,0.20480104813060773,ns
